"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2000","2000",76875,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2001","2001",76209,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2002","2002",76653,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2003","2003",78240,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2004","2004",79639,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2005","2005",78715,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2006","2006",80331,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2008","2008",81233,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2009","2009",81838,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2010","2010",83232,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2011","2011",84576,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2012","2012",85200,"E","Estimated value"
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2013","2013",86510,,
"HOPITBED","Total hospital beds","NOMBRENB","Number","AUS","Australia","2014","2014",89019,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUS","Australia","2000","2000",7573,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUS","Australia","2001","2001",7645,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUS","Australia","2002","2002",7800,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUS","Australia","2003","2003",7741,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUS","Australia","2004","2004",7922,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUS","Australia","2005","2005",7996,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUS","Australia","2006","2006",8226,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUS","Australia","2008","2008",8400,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUS","Australia","2009","2009",8399,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUS","Australia","2010","2010",8517,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUS","Australia","2011","2011",8781,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUS","Australia","2012","2012",9054,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUS","Australia","2013","2013",9384,,
"HOPILIPS","Psychiatric care beds","NOMBRENB","Number","AUS","Australia","2014","2014",9384,"E","Estimated value"
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2000","2000",52410,,
"HOPITPOH","Beds in publicly owned hospitals","NOMBRENB","Number","AUS","Australia","2001","2001",51461,,
